品质,工作要求,工作要求
"[0, 3, 16, 21, 26]","[29, 39]",[]
"[0, 4, 21]","[28, 29]","[64, 90, 63]"
"[4, 21]",[28],"[65, 90]"
[21],"[40, 29]",[90]
"[0, 2, 21, 23]","[40, 29]","[90, 63]"
"[16, 0, 11, 21]","[30, 39]",[90]
[21],[40],[]
"[16, 13, 23]","[32, 35, 29]","[90, 75]"
"[0, 3, 14]","[29, 30]",[]
"[3, 21]",[],"[90, 63]"
[16],"[28, 29, 31]","[44, 63]"
[],"[40, 35, 28, 39]",[63]
"[0, 21]","[29, 39]","[90, 63]"
[21],[],[90]
"[2, 3, 4, 18, 21, 27]",[41],[]
"[4, 20]","[35, 29]","[64, 65]"
"[0, 8, 21, 16]","[28, 29, 36, 31]",[63]
"[3, 21]","[29, 30, 39]",[63]
"[0, 21]","[31, 39]","[48, 86, 63]"
"[3, 11, 16, 21, 26]","[40, 30]",[63]
"[0, 4, 9, 12, 16]","[39, 28, 29, 30, 31]","[65, 63]"
"[16, 3]","[28, 29]",[63]
[],[],[63]
"[12, 21, 23]","[32, 29]",[]
[],[32],[63]
[21],[29],"[90, 63]"
"[4, 21]","[28, 39]",[83]
"[8, 4, 21]",[],"[46, 86]"
[],"[40, 29, 30]",[90]
"[0, 4, 15, 16, 20]","[35, 29, 31]","[64, 63]"
"[16, 23]","[29, 31]",[]
"[3, 8, 12, 13, 14, 16, 21]","[40, 35, 29]",[90]
[0],[31],"[90, 63]"
"[0, 26, 4, 21]",[35],[]
"[0, 8, 21]","[28, 39]",[63]
"[3, 15, 20, 21, 26]","[32, 38, 40, 29, 30]",[63]
[21],"[32, 31, 29, 39]",[63]
"[3, 21]","[40, 42, 29]",[]
"[3, 11, 13, 16, 21, 26]","[40, 29]","[90, 63]"
"[0, 26, 4]","[40, 35]",[63]
[21],"[29, 39]",[63]
"[8, 3, 20, 21]","[40, 29, 31]","[65, 63]"
[21],[28],"[81, 82, 83, 84]"
"[8, 0, 21]","[40, 29]","[90, 86]"
"[16, 13]","[32, 39, 29, 31]",[63]
"[10, 21]",[28],"[90, 84, 63]"
[],[],[]
[],"[40, 29]",[]
[],"[32, 40, 29]","[82, 90, 86, 63]"
[21],"[40, 28]",[]
[21],[39],[63]
"[0, 21]","[40, 28]","[81, 82, 83, 84, 85]"
"[16, 11, 21]","[29, 31]",[90]
[21],[39],"[81, 63]"
"[0, 2, 3, 4, 13, 20, 26]","[29, 31]",[64]
[21],[],[63]
[],[],[]
"[0, 3, 4, 13, 21]","[29, 30, 31]",[63]
[21],[40],"[67, 63]"
"[12, 21]",[40],[90]
"[0, 2, 3, 6, 21, 26]",[],"[64, 90, 63]"
"[11, 21]","[28, 31, 39]",[]
"[18, 21, 23]",[39],[63]
[26],[29],"[50, 90]"
"[4, 21]","[42, 31]","[83, 63]"
[21],"[33, 35, 39, 40, 29]",[63]
[21],[32],[63]
"[8, 21]","[32, 30, 31]",[63]
[],[],[]
"[0, 26, 2]",[31],[]
"[4, 21]","[28, 39]",[]
[21],"[40, 29]",[]
"[0, 26, 12, 14]","[32, 28, 29, 30, 31]","[64, 74]"
"[13, 20, 21]","[40, 29, 39]","[90, 63]"
"[0, 12]","[32, 28, 29, 31]","[64, 63]"
"[12, 21]",[],[63]
"[0, 3, 4, 12, 16, 20, 22, 23]","[32, 39, 42, 28, 29]","[63, 79]"
[21],[39],[63]
"[0, 8, 10, 11, 16, 18]","[29, 39]","[65, 63]"
"[16, 8, 4]",[28],[]
[21],"[32, 31]",[67]
[21],[29],[63]
"[16, 21]",[29],[63]
[21],"[40, 32, 29]","[64, 90, 68, 63]"
[],[],[]
"[0, 26, 4, 21]",[],[90]
"[4, 6, 15, 20, 21]",[35],[90]
"[0, 8, 10, 12, 15, 16]","[35, 28]",[63]
"[4, 21]",[28],[63]
[21],"[40, 35]",[90]
"[4, 21, 23]","[32, 28, 29]",[63]
[],[28],[63]
"[0, 16]","[32, 31, 29, 39]","[67, 63]"
"[0, 3]",[],[]
"[27, 4]","[29, 31]",[85]
"[0, 4]","[29, 30, 31]",[]
"[4, 21]","[42, 31]","[83, 63]"
"[3, 4, 22]",[39],"[83, 63]"
"[0, 3, 12, 20, 26]","[32, 28, 29, 31]",[90]
"[0, 2, 3, 8, 21, 26]","[28, 29, 39]",[63]
"[0, 3]","[40, 31, 29, 39]","[81, 84, 63]"
"[10, 4]","[29, 39]",[]
[],[],[]
[21],[40],"[81, 84, 85]"
"[13, 4, 21]","[32, 38, 39, 29, 31]","[67, 63]"
[21],[40],[63]
"[16, 21]","[33, 35, 29, 39]",[63]
"[0, 3, 21]","[31, 39]","[64, 90, 86, 63]"
[21],[],[63]
[21],[39],[63]
"[16, 0, 11]",[30],[90]
"[4, 23]","[35, 29]",[63]
"[0, 4, 21]",[29],[]
"[0, 2, 26, 21]",[29],[63]
[21],"[40, 29, 30]","[90, 63]"
[21],"[29, 30]",[63]
[21],[],[63]
[],[28],[90]
[4],"[32, 28, 29, 30]",[82]
"[3, 4, 21]",[],"[65, 63]"
"[16, 3, 21]",[],[63]
"[8, 20, 21, 14]","[28, 29, 31]",[]
"[0, 21]","[40, 33, 29, 39]",[63]
[12],[40],[85]
[],[39],[63]
[21],[],[]
"[16, 0, 12, 14]","[32, 38, 31]",[86]
"[0, 3, 21, 6]",[],"[90, 70, 63]"
[21],"[42, 29, 30, 39]",[63]
"[0, 21]","[29, 39]",[63]
[21],"[40, 39]","[65, 63]"
[21],[40],[]
[3],[40],[]
"[3, 6, 8, 21, 23]",[],"[65, 83, 63]"
"[26, 3, 21]",[],[90]
[4],[39],[63]
"[4, 6, 15, 16, 21]","[29, 39]",[]
"[12, 21]","[28, 29]",[63]
[21],"[32, 40]",[67]
"[4, 21]","[32, 28, 29, 38]","[65, 86, 63]"
"[4, 21]",[],"[64, 67]"
"[0, 3, 10, 18, 26]","[28, 31]","[64, 90]"
"[3, 21]",[29],[]
[26],"[40, 29]",[63]
"[0, 3, 8, 16, 21, 26]","[40, 33, 32, 29]","[65, 86, 63]"
[21],"[32, 39, 28, 29, 31]",[65]
"[20, 6]","[35, 29]",[]
"[8, 16, 13]",[35],[]
"[0, 11, 21]","[32, 40, 28, 29, 31]","[90, 63]"
"[4, 21]","[32, 40, 29, 39]",[]
[21],[32],[63]
[4],[28],[77]
"[21, 23]","[29, 31]",[]
"[0, 2, 3, 21, 26]",[29],"[90, 63]"
"[20, 15]","[42, 29]",[]
[],[],[]
[11],"[35, 30, 31]",[]
"[11, 21]","[28, 29, 30, 31]",[63]
"[0, 8, 11, 20, 21]","[29, 30]",[64]
[4],[40],[]
"[0, 26, 3, 21]","[32, 29, 31]",[63]
"[27, 12, 21]","[40, 28, 29, 31]",[]
[21],[32],[63]
"[2, 4, 21]",[29],"[90, 63]"
"[13, 21]","[28, 31]",[65]
"[3, 14, 15, 16, 20, 21]","[29, 30, 39]",[]
[21],"[32, 38]",[]
[4],"[32, 29, 39]",[]
"[0, 3, 12, 21]","[29, 39]","[90, 63]"
"[16, 21]","[42, 29, 30, 39]",[63]
"[16, 0]","[42, 35, 29, 39]",[63]
"[16, 0, 3, 4]","[29, 30, 31]",[]
"[1, 3, 8, 12, 21, 26]","[32, 33, 39, 40, 29]",[90]
"[8, 21]",[],"[64, 90, 63]"
[21],"[39, 31]","[57, 63]"
"[0, 21]","[29, 39]",[]
"[3, 21]",[],[90]
"[12, 21]","[29, 39]",[63]
"[10, 3, 12, 21]","[32, 29]","[90, 63]"
[],[29],"[77, 79]"
"[3, 4, 10, 16, 21]","[40, 32, 28]","[64, 90]"
[13],[],[63]
"[26, 21, 14]","[32, 29, 39]",[63]
[21],[],[63]
"[0, 21]","[32, 29]",[]
[],[],[86]
[21],[29],[]
[0],[],[75]
[],[],[64]
"[4, 21]","[32, 39]",[]
"[0, 11, 20, 21]","[28, 29, 39]",[]
[21],[31],[63]
"[2, 4]","[29, 31]","[88, 90, 86, 87]"
"[8, 21]",[],[]
"[11, 27, 21]","[40, 42, 35, 29]","[65, 90, 63]"
"[0, 21]","[32, 35, 29, 30]",[63]
[21],"[29, 39]",[]
"[0, 21, 15]",[],[]
"[3, 21]","[40, 33, 32, 39]","[64, 63]"
[21],[40],[63]
"[16, 4, 21]",[29],[63]
"[16, 11, 15]",[31],"[90, 63]"
"[0, 2, 3, 21, 26]","[29, 39]","[90, 63]"
[4],[31],[63]
"[0, 3, 10, 16, 21]","[40, 31, 39]","[90, 63]"
"[16, 0, 21]","[32, 39, 40, 29, 31]",[63]
"[16, 2, 11, 15]","[40, 28, 29, 30, 31]","[90, 63]"
"[16, 13, 21]",[39],[63]
[21],[32],[63]
"[16, 10, 21]","[38, 28, 29, 30]","[64, 85]"
"[0, 3, 12]",[],[]
[],[],[]
"[16, 11, 4]","[28, 30]",[77]
"[11, 4, 21]","[42, 35, 28, 29]","[64, 90, 63]"
"[4, 21]","[32, 33, 40, 29]","[65, 57, 63]"
[],"[28, 39]","[64, 63]"
[21],[40],"[85, 63]"
[4],"[29, 31]",[]
"[11, 21]","[32, 42, 28, 29]",[64]
"[0, 3, 4, 13, 16, 18, 21, 27]","[28, 30, 31]",[63]
"[4, 3, 12, 21]",[],[63]
[21],"[32, 33, 39, 29, 30]","[65, 63]"
"[0, 3, 11, 20, 26]","[28, 29]","[67, 63]"
"[0, 21]","[32, 35, 39, 29, 30, 31]",[57]
"[26, 3, 12, 21]",[31],[]
"[16, 3, 21]","[32, 40, 29, 39]","[88, 90, 63]"
[21],"[40, 29]",[90]
"[0, 21]","[42, 28, 29, 30]",[82]
[],"[32, 33, 39]",[46]
"[0, 3, 4, 11, 12, 13, 18, 20]","[28, 29, 30]",[]
"[2, 3, 21, 23]","[32, 33, 39, 40, 28, 29, 31]","[64, 65, 63]"
"[0, 4]","[35, 29, 30, 39]","[67, 63]"
[0],[31],"[90, 63]"
"[16, 3, 4]","[29, 31]",[]
"[3, 20]",[],[]
[21],[29],[]
"[13, 12, 21]","[29, 39]","[68, 63]"
"[3, 8, 12, 13, 14, 16, 21]","[40, 35, 29]",[90]
[],[],"[90, 63]"
"[16, 13, 26, 21]",[29],"[90, 63]"
"[8, 21]","[40, 29]",[]
"[0, 21]","[28, 29, 31]","[64, 65]"
[0],[39],[63]
"[0, 16, 10, 21]",[28],[63]
"[16, 4, 21]","[32, 35, 39, 42, 28, 29]",[65]
"[12, 21]","[32, 35, 29, 39]",[63]
[21],[40],[63]
"[4, 21]","[32, 28, 39]","[90, 63]"
"[2, 21]","[32, 34, 29]",[]
[21],[28],"[90, 63]"
[21],"[29, 30, 39]",[]
"[0, 2, 3]",[],[]
"[0, 3, 16, 21, 26]","[29, 39]","[90, 63]"
"[11, 4, 21]","[31, 29, 30, 39]",[]
"[0, 21]",[29],"[77, 63]"
[],"[32, 38, 39, 42, 29]","[64, 63]"
[4],[39],"[64, 63]"
"[10, 21]","[29, 30, 39]",[63]
"[8, 3, 21]","[40, 31, 39]",[63]
"[16, 4, 20, 21]","[35, 29, 30]","[64, 65, 63]"
"[26, 4, 21]","[40, 28, 29, 30]","[82, 74]"
"[3, 12, 21]",[],[63]
[],[],"[82, 84, 63]"
"[16, 21]","[32, 38, 39]",[63]
[21],"[29, 30, 39]","[67, 63]"
[],"[32, 40, 29, 39]","[65, 63]"
"[0, 16, 11, 21]","[31, 29, 30, 39]","[90, 63]"
"[0, 3, 4, 21]","[29, 30]",[65]
"[8, 20, 21]",[],"[90, 63]"
"[3, 2, 26, 21]",[29],[]
"[16, 4, 21, 15]",[],[65]
"[16, 21]","[35, 28, 29, 30]","[64, 81, 85]"
[21],"[29, 39]",[]
[],[],[]
"[0, 26, 3, 21]","[29, 30]","[90, 63]"
[21],[],[]
"[8, 21]","[40, 28, 29]","[64, 83]"
"[0, 26, 3, 21]",[],"[90, 63]"
"[0, 1, 4, 16, 22]","[39, 40, 42, 29, 30, 31]","[90, 63]"
"[0, 16]","[29, 39]",[63]
"[16, 11, 21, 15]","[29, 31, 28, 39]",[63]
[0],[],[]
[16],"[40, 39]",[]
"[16, 26, 11, 13]",[29],"[90, 63]"
"[10, 21]","[28, 29]","[64, 65]"
"[0, 21]",[28],"[81, 82, 83, 84, 85]"
"[0, 3, 4, 16, 21]","[29, 30, 31]",[63]
"[0, 12, 21]","[32, 40]","[90, 63]"
"[16, 3, 21]",[],[63]
"[0, 2]",[32],[]
"[0, 4, 13, 16, 18, 21]",[28],[63]
"[0, 4, 13, 16, 18, 21]",[28],[63]
"[0, 26, 3]","[29, 30]",[90]
"[16, 0, 21]","[28, 29, 31]","[64, 90]"
[],[],[]
[21],[],[63]
[21],"[32, 31, 29, 39]",[]
[21],"[40, 39]",[63]
[],[40],[]
[21],[32],"[65, 63]"
[21],"[32, 40, 39]","[74, 63]"
"[8, 3, 21]",[],"[64, 81, 85]"
[],[39],[63]
"[0, 13, 4, 21]","[32, 35, 28, 29, 31]","[64, 63]"
"[21, 23]",[29],[]
"[2, 3, 12]","[31, 29, 39]",[63]
[21],"[32, 29, 31]",[63]
"[0, 3, 21, 6]",[],"[90, 63]"
"[3, 8, 11, 16, 21]",[],"[90, 63]"
"[26, 21]","[39, 29, 30, 31]","[65, 90, 63]"
"[8, 11]","[29, 30, 31]",[]
"[2, 3, 4, 8, 12, 21]","[32, 29, 31]",[90]
[8],[],[]
"[0, 3, 21]",[],[]
"[0, 8, 27, 21]","[40, 33, 42, 29]",[63]
"[10, 11, 12, 21]","[33, 38, 39, 42, 29, 30]","[90, 63]"
"[0, 3, 20, 4]",[29],[63]
"[0, 8, 18]",[30],"[65, 63]"
[0],[29],"[90, 63]"
[21],[40],[63]
"[16, 0, 4]","[29, 30, 39]",[]
[],"[32, 33, 39]","[68, 63]"
[4],[],"[90, 63]"
[21],[39],[63]
[21],[40],[]
[21],[29],"[90, 63]"
"[1, 21]","[33, 39, 40, 42, 29]",[63]
"[8, 12]","[28, 29, 39]",[63]
"[11, 21]","[32, 29]",[90]
"[4, 13, 16, 18, 21]","[40, 31]","[64, 63]"
"[0, 18, 4, 21]","[30, 39]",[63]
"[0, 3, 12, 21]","[32, 29, 38, 39]",[63]
"[0, 26, 3]",[],[]
"[0, 3, 12, 21]","[29, 39]",[63]
"[0, 21]","[28, 29]","[64, 90, 63]"
"[8, 21]","[40, 29]",[]
"[3, 0, 11, 21]","[30, 39]","[64, 70, 89, 90, 63]"
"[0, 3, 4, 14, 16]","[29, 30, 39]",[63]
"[4, 8, 11, 14, 20, 21]","[32, 28, 29]",[]
[],[],[63]
[21],"[32, 39]","[65, 63]"
[21],"[32, 29, 31]",[90]
[21],[32],[63]
"[20, 21]","[40, 29]",[63]
"[8, 4]",[],[]
"[21, 23]","[32, 42, 35, 29]",[65]
"[0, 21]",[32],[63]
"[0, 3, 16, 20, 21]","[40, 39]",[63]
"[0, 3, 16, 21, 26]",[29],[]
[21],[],[83]
"[2, 21]",[29],"[90, 63]"
"[0, 3, 4, 6, 21]","[28, 39]",[46]
"[3, 4, 21]","[42, 29, 30]","[90, 63]"
"[4, 6, 11, 12, 21]","[32, 40, 28, 29]",[63]
"[0, 3]",[],[63]
"[0, 8, 11, 20, 21]","[29, 30]",[64]
"[26, 4, 21]","[40, 32, 29]",[63]
"[0, 2, 21]","[32, 29, 39]","[88, 90, 63]"
[4],"[39, 29, 31]",[64]
[21],"[28, 39]",[63]
"[3, 21]",[],[]
"[0, 21]","[40, 33, 35, 39]",[63]
[],[32],"[57, 86]"
[],[],"[86, 63]"
[21],[],[]
"[16, 21]",[39],"[81, 63]"
[21],"[31, 28, 29, 39]","[65, 63]"
"[11, 21]","[29, 30]","[90, 63]"
"[0, 26, 4, 21]","[30, 31]",[65]
"[0, 2, 4, 8, 13, 15, 20]","[35, 28, 29, 30, 31]","[64, 63]"
"[3, 21]",[],"[90, 63]"
"[0, 4]","[32, 38, 42, 28, 29]",[64]
"[4, 8, 12, 15, 16, 18, 20]","[28, 29, 31]",[]
"[0, 21]","[29, 39]","[88, 90, 87, 63]"
"[0, 8, 12, 21]",[40],[]
[],[29],[90]
[21],[],[]
[],"[35, 29]",[63]
"[16, 20, 21]","[29, 31]","[88, 63]"
"[0, 4, 15, 16, 21]","[29, 30, 39]","[90, 86, 63]"
[],"[29, 39]",[63]
"[0, 3, 11, 12, 21]","[28, 29, 31]",[63]
[21],[29],"[68, 63]"
[21],"[40, 29, 30]",[65]
[8],"[30, 39]",[64]
"[16, 3, 21]","[29, 31]","[68, 63]"
"[26, 3, 21]","[32, 29]",[63]
"[13, 4, 21]","[35, 29]","[65, 85, 63]"
"[10, 11, 21]",[30],"[83, 63]"
"[0, 3, 16, 21, 26]",[29],[]
"[0, 21]","[29, 39]","[90, 63]"
"[3, 21]",[],[63]
[21],[39],[63]
"[21, 23]","[32, 35, 38, 39, 40, 29]",[63]
[18],[],[]
"[10, 4]","[29, 38, 31]",[]
"[10, 4]","[28, 29, 30, 31]",[64]
[23],[39],[65]
"[0, 15, 16, 18, 20]",[28],[64]
"[3, 21]",[],"[90, 63]"
"[0, 2, 3, 13, 21, 26]","[40, 29, 39]","[65, 63]"
[],[],[63]
"[0, 26, 3]",[],"[90, 63]"
[21],"[32, 40]",[63]
"[0, 2, 3, 21, 26]","[29, 30, 39]","[90, 63]"
"[16, 21]","[32, 33, 29, 39]","[90, 63]"
"[3, 4, 21]",[31],"[83, 63]"
[21],"[40, 32, 29, 39]",[63]
[21],[],[]
[10],"[33, 40, 42, 29, 30, 31]","[90, 63]"
[21],"[29, 30, 31]",[90]
"[8, 13]","[29, 31]",[86]
"[0, 8, 11, 20, 21]","[29, 30]","[64, 84]"
"[10, 4, 21]",[42],"[67, 63]"
"[0, 21]","[28, 29, 30]",[90]
"[11, 4]","[28, 30]","[77, 63]"
[4],[28],[64]
[4],"[40, 36, 29, 30]",[63]
"[21, 23]","[40, 29]",[86]
"[3, 27, 4]","[32, 29, 30, 31]","[65, 63]"
"[0, 21]","[32, 31]","[86, 63]"
"[0, 3, 21]",[],[]
"[10, 12]","[32, 33, 35, 42, 29, 30]",[63]
"[10, 3, 21, 22]","[33, 28, 29, 39]","[82, 84, 63]"
[21],[],"[64, 65, 86]"
[21],"[31, 39]","[48, 46]"
"[0, 21]","[29, 39]","[64, 65, 63]"
[21],[],[63]
[0],[],"[82, 86, 63]"
"[0, 2, 3, 4, 11, 13, 14, 21]","[40, 42, 29]","[64, 63]"
"[0, 8, 12, 21]","[32, 39]","[68, 63]"
"[8, 0, 3]",[33],[]
"[21, 22]","[40, 39]","[68, 63]"
"[0, 26, 4, 21]",[],[90]
"[16, 0, 4, 13]",[29],[63]
"[0, 8, 3, 21]",[],[]
"[9, 21]",[32],[]
"[16, 3, 4, 21]",[31],[]
"[4, 21]",[],[]
"[8, 0, 3]",[],[90]
[21],[],[63]
[4],[],"[65, 63]"
"[2, 4, 11, 14, 16, 21, 23, 26]","[28, 29]",[63]
"[0, 11, 20, 21]","[28, 29]",[90]
"[8, 21]","[28, 30]","[90, 63]"
"[0, 3, 21, 6]",[],"[90, 70, 63]"
"[3, 11, 13, 21, 26]","[42, 29]","[64, 90, 63]"
"[0, 3, 6, 12, 21]",[39],[63]
[23],"[29, 31]",[]
"[3, 20]","[29, 30, 31]",[90]
"[1, 3, 8, 12, 21, 26]","[32, 33, 40, 39]",[]
[21],"[29, 30]",[64]
"[0, 1, 2, 3, 6, 21]","[32, 33, 40, 29, 31]",[63]
"[4, 12, 13, 16, 21]","[32, 28, 30, 39]",[90]
"[2, 26, 21]","[40, 29, 39]",[63]
"[0, 21]",[],"[90, 63]"
"[26, 3, 21]","[35, 29, 30]",[]
"[0, 8, 13, 14, 20, 21]",[29],"[68, 86, 63]"
"[2, 4, 21]","[32, 31, 29, 39]",[63]
"[26, 3, 4]","[32, 29]",[]
[21],"[29, 31]","[62, 63]"
"[4, 8, 12, 16, 21]","[29, 31]",[]
"[0, 21]","[32, 38, 42, 28, 29]",[63]
"[16, 0, 11, 21]","[29, 39]","[90, 63]"
"[0, 21]",[31],"[65, 90, 63]"
"[16, 0, 11]","[35, 29, 30, 39]",[63]
[6],[29],[63]
"[0, 4, 21]",[29],[63]
"[26, 3, 21]","[40, 29]",[63]
[2],"[35, 39]",[]
"[27, 4, 12]","[28, 29, 31]","[82, 63]"
[21],[32],"[67, 63]"
"[0, 4, 8, 11, 20, 21]","[29, 31]","[65, 63]"
[21],"[40, 29, 39]",[63]
"[0, 21]","[32, 29, 30]",[]
"[26, 3, 21]",[],"[65, 90]"
[21],"[28, 39]",[90]
[21],"[40, 39]",[63]
"[0, 3, 4, 12, 26]",[],[63]
"[4, 21, 23]","[31, 29, 36, 39]",[]
"[3, 20, 21]",[],"[65, 90]"
[21],"[40, 39]","[65, 63]"
[4],[],[]
"[0, 21, 23]","[32, 29]",[63]
"[0, 2, 26, 21]",[29],[63]
[21],"[32, 35, 38, 39, 40, 28, 29, 30, 31]",[63]
"[3, 21]",[],"[90, 63]"
[21],[40],"[81, 84, 85]"
"[0, 3, 11, 13, 16, 21]","[28, 29, 31]",[]
[],[],[]
"[10, 18, 13, 21]",[29],[64]
"[4, 21]",[39],"[74, 63]"
"[2, 3, 8, 10, 21]","[40, 31, 39]",[63]
"[16, 0, 21]","[40, 29, 39]","[81, 90, 63]"
[21],"[42, 29]",[63]
"[0, 26, 21]","[32, 31]",[]
"[16, 21, 15]","[29, 39]","[90, 63]"
"[3, 4, 15, 16, 21, 26]","[35, 29]",[63]
"[11, 21]","[28, 29, 30]","[64, 65]"
"[21, 23]","[28, 29]",[63]
[],[],[]
[],[29],[]
"[3, 21]","[28, 29, 39]","[57, 67]"
[13],[29],[]
[21],[29],[65]
"[3, 12, 21]",[29],[63]
"[0, 21]","[40, 28]",[85]
[21],[40],[63]
"[0, 10, 6, 7]","[33, 28]",[63]
[21],[39],[63]
"[18, 3, 21]",[],"[68, 63]"
[21],"[33, 29, 39]",[63]
"[0, 21]","[28, 29]",[63]
[21],"[40, 28, 29]",[]
[0],[40],[]
"[0, 11]",[],[]
"[2, 3, 12]",[],[63]
"[11, 4, 13, 14]","[32, 28, 29, 31]","[64, 63]"
"[2, 3, 21]",[32],[63]
"[16, 4]","[40, 28, 29, 30]",[]
[21],[],[63]
[21],"[42, 29]","[65, 63]"
[21],"[40, 32, 29, 39]",[63]
[21],"[32, 29]",[]
"[8, 21]","[32, 29, 30]",[]
[],[],"[65, 63]"
[21],[],[]
[21],[],"[68, 63]"
[11],"[28, 29, 30, 31]",[90]
"[0, 3, 19, 20]","[32, 29]",[]
"[8, 21]","[32, 29, 30, 39]","[67, 63]"
[21],"[32, 33]","[90, 63]"
[],[],[89]
[],"[29, 30]",[74]
"[21, 23]","[38, 39]","[48, 63]"
"[16, 12, 21]","[29, 30, 39]","[90, 86, 63]"
"[8, 20, 21, 14]","[31, 39]",[]
"[16, 21]","[29, 31]",[]
"[3, 8, 12, 21, 26]","[40, 29]","[90, 63]"
[21],"[40, 28]","[81, 82, 84, 85]"
"[10, 4, 21]","[40, 35, 29]",[64]
[4],"[28, 29, 30]",[]
"[11, 21]","[35, 28, 29, 39]",[]
"[16, 21, 6, 14]","[40, 28]","[81, 82, 83, 84, 85]"
[],"[40, 39]",[90]
"[0, 8, 11, 20, 21]","[40, 29, 30]","[64, 84]"
[],[],[90]
"[0, 4, 16, 21, 22]",[],"[90, 63]"
"[16, 0, 3, 21]","[28, 29, 31]",[63]
"[0, 8, 3, 21]","[32, 35, 40, 28, 29, 31]",[63]
"[16, 6]","[40, 28, 29]","[64, 63]"
"[13, 4, 21]","[40, 29]",[63]
[],[],[]
"[3, 8, 12, 13, 14, 16, 21]","[40, 35, 29]",[90]
[21],[],[83]
[21],[],[63]
"[4, 21]","[28, 29]",[63]
"[8, 4]",[35],[65]
"[0, 3, 4]",[39],[90]
[0],"[31, 29, 39]",[63]
"[11, 21]","[40, 28, 29, 30]",[63]
"[4, 21]","[32, 42, 29, 38]",[63]
"[4, 21]","[32, 35, 29, 31]",[65]
